company_name,Documentation_and_Justifications_max,Documentation_and_Justifications_actual,Application_Completeness_max,Application_Completeness_actual,Deeper_Targeting___Rent___Income_Restrictions_max,Deeper_Targeting___Rent___Income_Restrictions_actual,Desirable_Undesirable_Activities_max,Desirable_Undesirable_Activities_actual,Community_Transportation_Options_max,Community_Transportation_Options_actual,Quality_Education_Areas_max,Quality_Education_Areas_actual,Revitalization_Redevelopment_Plans_max,Revitalization_Redevelopment_Plans_actual,Community_Transformation_max,Community_Transformation_actual,Stable_Communities_max,Stable_Communities_actual,Mixed_Income_Developments_max,Mixed_Income_Developments_actual,Community_Designations_max,Community_Designations_actual,Phased_Developments_max,Phased_Developments_actual,Previous_Projects_max,Previous_Projects_actual,Extended_Affordability_Commitment_max,Extended_Affordability_Commitment_actual,Internet_Access_max,Internet_Access_actual,Minority_and_Women_Owned_Business_Engagement_max,Minority_and_Women_Owned_Business_Engagement_actual,Enriched_Property_Services_max,Enriched_Property_Services_actual,Exceptional_Nonprofit_Public_Housing_Authority_max,Exceptional_Nonprofit_Public_Housing_Authority_actual,DCA_Community_Initiatives_max,DCA_Community_Initiatives_actual,Favorable_Financing_max,Favorable_Financing_actual,Historic_Preservation_max,Historic_Preservation_actual,Compliance_Performance_max,Compliance_Performance_actual,Integrated_Supportive_Housing_max,Integrated_Supportive_Housing_actual,Occupancy_max,Occupancy_actual,Rent_Advantage_max,Rent_Advantage_actual,PBRA_Contracts_max,PBRA_Contracts_actual,Property_Restrictions_and_Age_max,Property_Restrictions_and_Age_actual,USDA_Portfolio_Additional_Criteria_max,USDA_Portfolio_Additional_Criteria_actual
maplerdgcore,0.0,0.0,10.0,10.0,3.0,2.0,20.0,20.0,6.0,2.0,3.0,1.5,7.0,0.0,3.0,0.0,9.0,8.0,1.0,1.0,10.0,0.0,3.0,0.0,5.0,4.0,4.0,4.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,4.0,2.0,2.0,0.0,10.0,10.0,3.0,3.0,6.0,0.0,6.0,0.0,4.0,0.0,6.0,0.0,16.0,0.0
hamhills2core,0.0,0.0,10.0,10.0,3.0,2.0,20.0,20.0,6.0,5.0,3.0,1.0,7.0,7.0,3.0,0.0,9.0,0.0,1.0,1.0,10.0,0.0,3.0,3.0,5.0,0.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,4.0,2.0,2.0,0.0,10.0,10.0,3.0,3.0,6.0,0.0,6.0,0.0,4.0,0.0,6.0,0.0,16.0,0.0
parcsolomoncore,0.0,0.0,10.0,10.0,3.0,2.0,20.0,20.0,6.0,3.0,3.0,1.0,7.0,7.0,3.0,0.0,9.0,0.0,1.0,1.0,10.0,0.0,3.0,0.0,5.0,3.0,4.0,4.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,4.0,3.0,2.0,0.0,10.0,10.0,3.0,3.0,6.0,0.0,6.0,0.0,4.0,0.0,6.0,0.0,16.0,0.0
ashleymidtowncore,0.0,0.0,10.0,10.0,3.0,0.0,20.0,0.0,6.0,0.0,3.0,0.0,7.0,0.0,3.0,0.0,9.0,0.0,1.0,0.0,10.0,0.0,3.0,0.0,5.0,0.0,4.0,4.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.0,0.0,10.0,10.0,3.0,3.0,6.0,4.0,6.0,0.0,4.0,3.0,6.0,0.0,16.0,0.0
oaksidecore,0.0,0.0,10.0,10.0,3.0,3.0,20.0,20.0,6.0,3.0,3.0,3.0,7.0,7.0,3.0,0.0,9.0,0.0,1.0,1.0,10.0,0.0,3.0,0.0,5.0,3.0,4.0,4.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,4.0,4.0,2.0,0.0,10.0,10.0,3.0,2.0,6.0,0.0,6.0,0.0,4.0,0.0,6.0,0.0,16.0,0.0
valleytrailcore,0.0,0.0,10.0,10.0,3.0,2.0,20.0,20.0,6.0,2.0,3.0,3.0,7.0,0.0,3.0,0.0,9.0,5.0,1.0,1.0,10.0,0.0,3.0,0.0,5.0,5.0,4.0,4.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,4.0,3.0,2.0,0.0,10.0,10.0,3.0,3.0,6.0,0.0,6.0,0.0,4.0,0.0,6.0,0.0,16.0,0.0
berwicksr2core,0.0,0.0,10.0,10.0,3.0,2.0,20.0,20.0,6.0,3.0,3.0,1.0,7.0,0.0,3.0,0.0,9.0,9.0,1.0,1.0,10.0,0.0,3.0,3.0,5.0,0.0,4.0,4.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,4.0,0.0,2.0,0.0,10.0,10.0,3.0,2.0,6.0,0.0,6.0,0.0,4.0,0.0,6.0,0.0,16.0,0.0
lgcywltncrsg2core,0.0,0.0,10.0,10.0,3.0,2.0,20.0,20.0,6.0,4.5,3.0,1.0,7.0,7.0,3.0,0.0,9.0,0.0,1.0,1.0,10.0,0.0,3.0,3.0,5.0,0.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,4.0,1.0,2.0,0.0,10.0,10.0,3.0,2.0,6.0,0.0,6.0,0.0,4.0,0.0,6.0,0.0,16.0,0.0
richmndsmmthudcore,0.0,0.0,10.0,10.0,3.0,0.0,20.0,0.0,6.0,0.0,3.0,0.0,7.0,0.0,3.0,0.0,9.0,0.0,1.0,0.0,10.0,0.0,3.0,0.0,5.0,0.0,4.0,3.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,4.0,1.0,2.0,0.0,10.0,10.0,3.0,3.0,6.0,6.0,6.0,0.0,4.0,4.0,6.0,2.0,16.0,0.0
hsrvrdl2core,0.0,0.0,10.0,10.0,3.0,2.0,20.0,20.0,6.0,4.0,3.0,1.5,7.0,7.0,3.0,0.0,9.0,0.0,1.0,1.0,10.0,0.0,3.0,3.0,5.0,0.0,4.0,4.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,4.0,0.0,2.0,0.0,10.0,10.0,3.0,2.0,6.0,0.0,6.0,0.0,4.0,0.0,6.0,0.0,16.0,0.0
bridgeslincomcore,0.0,0.0,10.0,10.0,3.0,2.0,20.0,20.0,6.0,2.0,3.0,1.0,7.0,0.0,3.0,0.0,9.0,7.0,1.0,1.0,10.0,0.0,3.0,0.0,5.0,3.0,4.0,4.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,4.0,0.0,2.0,0.0,10.0,10.0,3.0,3.0,6.0,0.0,6.0,0.0,4.0,0.0,6.0,0.0,16.0,0.0
dogwdtrl2core,0.0,0.0,10.0,10.0,3.0,2.0,20.0,20.0,6.0,4.0,3.0,1.5,7.0,7.0,3.0,0.0,9.0,0.0,1.0,1.0,10.0,0.0,3.0,3.0,5.0,0.0,4.0,4.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,4.0,0.0,2.0,0.0,10.0,10.0,3.0,2.0,6.0,0.0,6.0,0.0,4.0,0.0,6.0,0.0,16.0,0.0
heritagecoreappusdapresv,0.0,0.0,10.0,10.0,3.0,0.0,20.0,0.0,6.0,0.0,3.0,0.0,7.0,0.0,3.0,0.0,9.0,0.0,1.0,0.0,10.0,0.0,3.0,0.0,5.0,0.0,4.0,4.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,4.0,0.0,2.0,0.0,10.0,10.0,3.0,3.0,6.0,6.0,6.0,0.0,4.0,0.0,6.0,2.0,16.0,0.0
lgcywltnvllgcore,0.0,0.0,10.0,10.0,3.0,0.0,20.0,0.0,6.0,0.0,3.0,0.0,7.0,0.0,3.0,0.0,9.0,0.0,1.0,0.0,10.0,0.0,3.0,0.0,5.0,0.0,4.0,4.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,4.0,0.0,2.0,0.0,10.0,10.0,3.0,2.0,6.0,6.0,6.0,0.0,4.0,0.0,6.0,0.0,16.0,0.0
chpmanflts,0.0,0.0,10.0,10.0,3.0,2.0,20.0,20.0,6.0,1.0,3.0,3.0,7.0,0.0,3.0,0.0,9.0,6.0,1.0,1.0,10.0,0.0,3.0,0.0,5.0,3.0,4.0,4.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,4.0,0.0,2.0,0.0,10.0,10.0,3.0,2.0,6.0,0.0,6.0,0.0,4.0,0.0,6.0,0.0,16.0,0.0
villascambornecore,0.0,0.0,10.0,10.0,3.0,2.0,20.0,20.0,6.0,2.0,3.0,1.5,7.0,0.0,3.0,0.0,9.0,7.0,1.0,1.0,10.0,0.0,3.0,0.0,5.0,5.0,4.0,4.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,4.0,0.0,2.0,0.0,10.0,10.0,3.0,3.0,6.0,0.0,6.0,0.0,4.0,0.0,6.0,0.0,16.0,0.0
magplccore,0.0,0.0,10.0,10.0,3.0,2.0,20.0,20.0,6.0,2.0,3.0,3.0,7.0,0.0,3.0,0.0,9.0,5.0,1.0,1.0,10.0,0.0,3.0,0.0,5.0,5.0,4.0,4.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,4.0,0.0,2.0,0.0,10.0,10.0,3.0,3.0,6.0,0.0,6.0,0.0,4.0,0.0,6.0,0.0,16.0,0.0
heritagecoreapplihtcpresv,0.0,0.0,10.0,10.0,3.0,0.0,20.0,0.0,6.0,0.0,3.0,0.0,7.0,0.0,3.0,0.0,9.0,0.0,1.0,0.0,10.0,0.0,3.0,0.0,5.0,0.0,4.0,4.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,4.0,0.0,2.0,0.0,10.0,10.0,3.0,3.0,6.0,6.0,6.0,0.0,4.0,0.0,6.0,0.0,16.0,0.0
wilshire2core,0.0,0.0,10.0,10.0,3.0,2.0,20.0,20.0,6.0,3.0,3.0,1.5,7.0,0.0,3.0,0.0,9.0,9.0,1.0,1.0,10.0,0.0,3.0,3.0,5.0,0.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,4.0,1.0,2.0,0.0,10.0,10.0,3.0,2.0,6.0,0.0,6.0,0.0,4.0,0.0,6.0,0.0,16.0,0.0
2023-012_1700draytonstcore,0.0,0.0,10.0,10.0,3.0,2.0,20.0,20.0,6.0,4.0,3.0,1.5,7.0,7.0,3.0,0.0,9.0,0.0,1.0,1.0,10.0,0.0,3.0,0.0,5.0,3.0,4.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,4.0,3.0,2.0,0.0,10.0,10.0,3.0,2.0,6.0,0.0,6.0,0.0,4.0,0.0,6.0,0.0,16.0,0.0
houstonlkcore,0.0,0.0,10.0,10.0,3.0,2.0,20.0,20.0,6.0,2.0,3.0,3.0,7.0,0.0,3.0,0.0,9.0,8.0,1.0,1.0,10.0,0.0,3.0,0.0,5.0,2.0,4.0,4.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,4.0,0.0,2.0,0.0,10.0,10.0,3.0,3.0,6.0,0.0,6.0,0.0,4.0,0.0,6.0,0.0,16.0,0.0
davisexchcore,0.0,0.0,10.0,10.0,3.0,2.0,20.0,20.0,6.0,5.0,3.0,0.0,7.0,7.0,3.0,0.0,9.0,0.0,1.0,1.0,10.0,0.0,3.0,0.0,5.0,3.0,4.0,4.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,4.0,3.0,2.0,2.0,10.0,10.0,3.0,3.0,6.0,0.0,6.0,0.0,4.0,0.0,6.0,0.0,16.0,0.0
harveststn2,0.0,0.0,10.0,10.0,3.0,2.0,20.0,20.0,6.0,1.0,3.0,3.0,7.0,7.0,3.0,0.0,9.0,0.0,1.0,1.0,10.0,0.0,3.0,3.0,5.0,0.0,4.0,4.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,4.0,3.0,2.0,0.0,10.0,10.0,3.0,3.0,6.0,0.0,6.0,0.0,4.0,0.0,6.0,0.0,16.0,0.0
westchestervllgcore,0.0,0.0,10.0,10.0,3.0,2.0,20.0,20.0,6.0,4.0,3.0,1.0,7.0,7.0,3.0,0.0,9.0,0.0,1.0,1.0,10.0,0.0,3.0,0.0,5.0,5.0,4.0,4.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,4.0,0.0,2.0,0.0,10.0,10.0,3.0,2.0,6.0,0.0,6.0,0.0,4.0,0.0,6.0,0.0,16.0,0.0
johngrhmcoreapp,0.0,0.0,10.0,10.0,3.0,0.0,20.0,0.0,6.0,0.0,3.0,0.0,7.0,0.0,3.0,0.0,9.0,0.0,1.0,0.0,10.0,0.0,3.0,0.0,5.0,0.0,4.0,4.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,4.0,1.0,2.0,0.0,10.0,10.0,3.0,3.0,6.0,2.0,6.0,0.0,4.0,2.0,6.0,4.0,16.0,0.0
finleyplacecore,0.0,0.0,10.0,10.0,3.0,3.0,20.0,20.0,6.0,3.0,3.0,2.0,7.0,0.0,3.0,0.0,9.0,5.0,1.0,1.0,10.0,0.0,3.0,0.0,5.0,5.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,4.0,2.0,2.0,0.0,10.0,10.0,3.0,2.0,6.0,0.0,6.0,0.0,4.0,0.0,6.0,0.0,16.0,0.0
stonehillcoreapp,0.0,0.0,10.0,10.0,3.0,2.0,20.0,20.0,6.0,3.0,3.0,1.5,7.0,7.0,3.0,0.0,9.0,0.0,1.0,1.0,10.0,0.0,3.0,0.0,5.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,4.0,0.0,2.0,0.0,10.0,10.0,3.0,3.0,6.0,0.0,6.0,0.0,4.0,0.0,6.0,0.0,16.0,0.0
grove2core,0.0,0.0,10.0,10.0,3.0,2.0,20.0,20.0,6.0,4.5,3.0,0.0,7.0,0.0,3.0,0.0,9.0,0.0,1.0,1.0,10.0,10.0,3.0,0.0,5.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,4.0,0.0,2.0,0.0,10.0,10.0,3.0,3.0,6.0,0.0,6.0,0.0,4.0,0.0,6.0,0.0,16.0,0.0
mdwdprkcore,0.0,0.0,10.0,10.0,3.0,0.0,20.0,0.0,6.0,0.0,3.0,0.0,7.0,0.0,3.0,0.0,9.0,0.0,1.0,0.0,10.0,0.0,3.0,0.0,5.0,0.0,4.0,4.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,4.0,0.0,2.0,0.0,10.0,10.0,3.0,3.0,6.0,4.0,6.0,0.0,4.0,0.0,6.0,4.0,16.0,0.0
bobbyjnsvllascore,0.0,0.0,10.0,10.0,3.0,0.0,20.0,0.0,6.0,0.0,3.0,0.0,7.0,0.0,3.0,0.0,9.0,0.0,1.0,0.0,10.0,0.0,3.0,0.0,5.0,0.0,4.0,4.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,4.0,1.0,2.0,0.0,10.0,10.0,3.0,3.0,6.0,6.0,6.0,0.0,4.0,3.0,6.0,4.0,16.0,0.0
gatewaylndgcore,0.0,0.0,10.0,10.0,3.0,2.0,20.0,20.0,6.0,2.0,3.0,3.0,7.0,7.0,3.0,0.0,9.0,0.0,1.0,1.0,10.0,0.0,3.0,0.0,5.0,3.0,4.0,4.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,4.0,0.0,2.0,0.0,10.0,10.0,3.0,3.0,6.0,0.0,6.0,0.0,4.0,0.0,6.0,0.0,16.0,0.0
hdcklndgcore,0.0,0.0,10.0,10.0,3.0,2.0,20.0,20.0,6.0,2.0,3.0,3.0,7.0,0.0,3.0,0.0,9.0,8.0,1.0,1.0,10.0,0.0,3.0,0.0,5.0,5.0,4.0,4.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,4.0,1.0,2.0,0.0,10.0,10.0,3.0,3.0,6.0,0.0,6.0,0.0,4.0,0.0,6.0,0.0,16.0,0.0
pksdouglsvllecore,0.0,0.0,10.0,10.0,3.0,2.0,20.0,20.0,6.0,3.0,3.0,2.0,7.0,0.0,3.0,0.0,9.0,8.0,1.0,1.0,10.0,0.0,3.0,0.0,5.0,5.0,4.0,4.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,4.0,0.0,2.0,0.0,10.0,10.0,3.0,2.0,6.0,0.0,6.0,0.0,4.0,0.0,6.0,0.0,16.0,0.0
hardintrc29pctcoreaprilfinal,0.0,0.0,10.0,10.0,3.0,2.0,20.0,20.0,6.0,2.0,3.0,3.0,7.0,0.0,3.0,0.0,9.0,9.0,1.0,1.0,10.0,0.0,3.0,0.0,5.0,4.0,4.0,4.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,4.0,0.0,2.0,0.0,10.0,10.0,3.0,3.0,6.0,0.0,6.0,0.0,4.0,0.0,6.0,0.0,16.0,0.0
jrjohnsonlgcyvllgcore,0.0,0.0,10.0,10.0,3.0,2.0,20.0,20.0,6.0,5.0,3.0,0.0,7.0,7.0,3.0,0.0,9.0,0.0,1.0,1.0,10.0,0.0,3.0,0.0,5.0,3.0,4.0,4.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,4.0,3.0,2.0,0.0,10.0,10.0,3.0,3.0,6.0,0.0,6.0,0.0,4.0,0.0,6.0,0.0,16.0,0.0
bonairhudcore,0.0,0.0,10.0,10.0,3.0,0.0,20.0,0.0,6.0,0.0,3.0,0.0,7.0,0.0,3.0,0.0,9.0,0.0,1.0,0.0,10.0,0.0,3.0,0.0,5.0,0.0,4.0,3.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,4.0,1.0,2.0,0.0,10.0,10.0,3.0,3.0,6.0,6.0,6.0,0.0,4.0,4.0,6.0,2.0,16.0,0.0
mcauleypkp2core,0.0,0.0,10.0,10.0,3.0,2.0,20.0,20.0,6.0,5.0,3.0,2.0,7.0,7.0,3.0,0.0,9.0,0.0,1.0,1.0,10.0,0.0,3.0,3.0,5.0,0.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,4.0,3.0,2.0,0.0,10.0,10.0,3.0,2.0,6.0,0.0,6.0,0.0,4.0,0.0,6.0,0.0,16.0,0.0
richmndsmmtcorehtc,0.0,0.0,10.0,10.0,3.0,0.0,20.0,0.0,6.0,0.0,3.0,0.0,7.0,0.0,3.0,0.0,9.0,0.0,1.0,0.0,10.0,0.0,3.0,0.0,5.0,0.0,4.0,3.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,4.0,1.0,2.0,0.0,10.0,10.0,3.0,3.0,6.0,6.0,6.0,0.0,4.0,4.0,6.0,0.0,16.0,0.0
wndsrcrsgcore,0.0,0.0,10.0,10.0,3.0,2.0,20.0,20.0,6.0,2.0,3.0,3.0,7.0,7.0,3.0,0.0,9.0,0.0,1.0,1.0,10.0,0.0,3.0,0.0,5.0,5.0,4.0,4.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,4.0,2.0,2.0,0.0,10.0,10.0,3.0,3.0,6.0,0.0,6.0,0.0,4.0,0.0,6.0,0.0,16.0,0.0
rharedevp1core,0.0,0.0,10.0,10.0,3.0,2.0,20.0,20.0,6.0,2.0,3.0,3.0,7.0,0.0,3.0,0.0,9.0,7.0,1.0,1.0,10.0,0.0,3.0,0.0,5.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,4.0,4.0,2.0,0.0,10.0,10.0,3.0,2.0,6.0,0.0,6.0,0.0,4.0,0.0,6.0,0.0,16.0,0.0
masonhtscore,0.0,0.0,10.0,10.0,3.0,2.0,20.0,20.0,6.0,3.0,3.0,1.0,7.0,0.0,3.0,0.0,9.0,7.0,1.0,1.0,10.0,0.0,3.0,0.0,5.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,4.0,1.0,2.0,0.0,10.0,10.0,3.0,3.0,6.0,0.0,6.0,0.0,4.0,0.0,6.0,0.0,16.0,0.0
sprgvw9pctcoreaprilfinal,0.0,0.0,10.0,10.0,3.0,2.0,20.0,20.0,6.0,5.0,3.0,3.0,7.0,7.0,3.0,0.0,9.0,0.0,1.0,1.0,10.0,0.0,3.0,0.0,5.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,4.0,0.0,2.0,0.0,10.0,10.0,3.0,3.0,6.0,0.0,6.0,0.0,4.0,0.0,6.0,0.0,16.0,0.0
